observ,profile1,tectonics1,tg1,profile2,tectonics2,profile3,tg2,tectonics3,tg3,profile4,tectonics4,tg4,profile5,tectonics5,tg5,profile6,tectonics6,tg6,profile7,tectonics7,tg7,profile8,tectonics8,tg8,profile9,tectonics9,tg9,profile10,tectonics10,tg10,profile11,tectonics11,tg11,profile12,tectonics12,tg12,profile13,tectonics13,tg13,profile14,tectonics14,tg14,profile15,tectonics15,tg15,profile16,tectonics16,tg16,profile17,tectonics17,tg17,profile18,tectonics18,tg18,profile19,tectonics19,tg19,profile20,tectonics20,tg20,profile21,tectonics21,tg21,profile22,tectonics22,tg22,profile23,tectonics23,tg23,profile24,tectonics24,tg24,profile25,tectonics25,tg25
311,-3300,Ph,0.05959421,-4550,Ma,-4650,0.05889147,Pc,0.07532998,-3150,Ma,0.06502649,-7500,Pc,0.06545271,-3600,Pc,0.07206682,-5400,Pc,0.07767503,-6200,Pc,0.07206682,-3750,Pc,0.07532998,-4100,Ma,0.06588456,-4150,Ma,0.06031394,-5000,Ma,0.06813234,-4000,Ma,0.06721504,-3350,Ma,0.05854629,-2800,Ma,0.05469926,-4400,Ph,0.0553049,-4450,Ph,0.0553049,-2350,Ph,0.05268023,-7300,Ph,0.05500041,-1850,Ph,0.05324171,-7050,Ph,0.04720483,-3400,Ph,0.05132705,-4100,Ph,0.08082045,-3300,Ph,0.08082045,-4700,Ph,0.06721504
312,-3350,Ph,0.05959421,-4600,Ma,-4550,0.05889147,Pc,0.07532998,-3150,Ma,0.06502649,-7000,Pc,0.06545271,-2950,Pc,0.07206682,-5400,Pc,0.07767503,-6150,Pc,0.07206682,-3750,Pc,0.07532998,-4100,Pc,0.06588456,-4100,Ma,0.06031394,-4950,Ma,0.06813234,-4000,Ma,0.06721504,-3350,Ma,0.05854629,-2800,Ma,0.05469926,-4400,Ph,0.0553049,-4500,Ph,0.0553049,-2400,Ph,0.05268023,-7300,Ph,0.05500041,-1500,Ph,0.05324171,-7050,Ph,0.04720483,-3450,Ph,0.05132705,-4100,Ph,0.08082045,-3350,Ph,0.08082045,-4700,Ph,0.06721504
313,-3350,Ph,0.05959421,-4600,Ma,-4550,0.05889147,Pc,0.07532998,-3200,Ma,0.06502649,-7000,Pc,0.06545271,-2950,Pc,0.07206682,-5400,Pc,0.07767503,-6150,Pc,0.07206682,-3650,Pc,0.07532998,-4100,Pc,0.06588456,-4100,Ma,0.06031394,-4950,Ma,0.06813234,-4050,Ma,0.06721504,-3350,Ma,0.05854629,-2850,Ma,0.05469926,-4450,Ph,0.0553049,-4500,Ph,0.0553049,-2400,Ph,0.05268023,-7250,Ph,0.05500041,-1500,Ph,0.05324171,-7300,Ph,0.04720483,-3450,Ph,0.05132705,-4100,Ph,0.08082045,-3350,Ph,0.08082045,-4700,Ph,0.06721504
314,-3350,Ph,0.05959421,-4600,Ma,-4550,0.05889147,Pc,0.07532998,-3200,Ma,0.06502649,-6750,Pc,0.06545271,-2950,Pc,0.07206682,-5450,Pc,0.07767503,-6250,Pc,0.07206682,-3650,Pc,0.07532998,-4100,Pc,0.06588456,-4100,Ma,0.06031394,-4900,Ma,0.06813234,-4050,Ma,0.06721504,-3350,Ma,0.05854629,-2850,Ma,0.05469926,-4450,Ph,0.0553049,-4300,Ph,0.0553049,-2000,Ph,0.05268023,-7250,Ph,0.05500041,-2250,Ph,0.05324171,-7300,Ph,0.04720483,-3600,Ph,0.05132705,-4100,Ph,0.08082045,-3350,Ph,0.08082045,-4750,Ph,0.06721504
315,-3350,Ph,0.05959421,-4600,Ma,-4550,0.05889147,Pc,0.07532998,-3200,Ma,0.06502649,-6750,Pc,0.06545271,-2950,Pc,0.07206682,-5450,Pc,0.07767503,-6250,Pc,0.07206682,-3700,Pc,0.07532998,-4050,Pc,0.06588456,-4100,Ma,0.06031394,-4900,Ma,0.06813234,-4100,Ma,0.06721504,-3400,Ma,0.05854629,-2500,Ma,0.05469926,-4500,Ph,0.0553049,-4300,Ph,0.0553049,-2000,Ph,0.05268023,-7200,Ph,0.05500041,-2250,Ph,0.05324171,-7250,Ph,0.04720483,-3600,Ph,0.05132705,-4400,Ph,0.08082045,-3350,Ph,0.08082045,-4750,Ph,0.06721504
316,-3350,Ph,0.05959421,-4600,Ma,-4600,0.05889147,Pc,0.07532998,-3200,Ma,0.06502649,-6750,Pc,0.06545271,-3000,Pc,0.07206682,-5450,Pc,0.07767503,-6300,Pc,0.07206682,-3700,Pc,0.07532998,-4050,Pc,0.06588456,-4450,Ma,0.06031394,-4450,Ma,0.06813234,-4100,Ma,0.06721504,-3400,Ma,0.05854629,-2500,Ma,0.05469926,-4500,Ma,0.0553049,-4250,Ph,0.0553049,-2050,Ph,0.05268023,-7200,Ph,0.05500041,-2300,Ph,0.05324171,-7250,Ph,0.04720483,-3650,Ph,0.05132705,-4400,Ph,0.08082045,-3400,Ph,0.08082045,-4750,Ph,0.06721504
317,-3350,Ph,0.05959421,-4600,Ma,-4600,0.05889147,Pc,0.07532998,-3250,Ma,0.06502649,-6750,Pc,0.06545271,-3000,Pc,0.07206682,-5050,Pc,0.07767503,-6300,Pc,0.07206682,-3850,Pc,0.07532998,-4050,Pc,0.06588456,-4450,Ma,0.06031394,-4450,Ma,0.06813234,-4150,Ma,0.06721504,-3400,Ma,0.05854629,-2500,Ma,0.05469926,-4300,Ma,0.0553049,-4250,Ph,0.0553049,-2050,Ph,0.05268023,-8050,Ph,0.05500041,-2300,Ph,0.05324171,-7200,Ph,0.04720483,-3650,Ph,0.05132705,-4350,Ph,0.08082045,-3400,Ph,0.08082045,-4750,Ph,0.06721504
318,-3400,Ph,0.05959421,-4350,Ma,-4600,0.05889147,Pc,0.07532998,-3250,Ma,0.06502649,-6950,Pc,0.06545271,-3000,Pc,0.07206682,-5050,Pc,0.07767503,-6350,Pc,0.07206682,-3850,Pc,0.07532998,-4050,Pc,0.06588456,-4050,Ma,0.06031394,-4500,Ma,0.06813234,-4150,Ma,0.06721504,-3400,Ma,0.05854629,-2500,Ma,0.05469926,-4300,Ma,0.0553049,-4000,Ph,0.0553049,-1650,Ph,0.05268023,-8050,Ph,0.05500041,-2350,Ph,0.05324171,-7200,Ph,0.04720483,-2200,Ph,0.05132705,-4350,Ph,0.08082045,-3400,Ph,0.08082045,-4800,Ph,0.06721504
319,-3400,Ph,0.05959421,-4350,Ma,-4600,0.05889147,Pc,0.07532998,-3250,Ma,0.06502649,-6950,Pc,0.06545271,-3000,Pc,0.07206682,-5050,Pc,0.07767503,-6350,Pc,0.07206682,-3850,Pc,0.07532998,-4050,Pc,0.06588456,-4050,Ma,0.06031394,-4500,Ma,0.06813234,-4400,Ma,0.06721504,-3450,Ma,0.05854629,-2900,Ma,0.05469926,-4250,Ma,0.0553049,-4000,Ph,0.0553049,-1650,Ph,0.05268023,-8200,Ph,0.05500041,-2350,Ph,0.05324171,-8050,Ph,0.04720483,-2200,Ph,0.05132705,-4300,Ph,0.08082045,-3400,Ph,0.08082045,-4800,Ph,0.06721504
320,-3400,Ph,0.05959421,-4350,Ma,-4600,0.05889147,Pc,0.07532998,-3250,Ma,0.06502649,-6700,Pc,0.06545271,-3050,Pc,0.07206682,-5100,Pc,0.07767503,-6400,Pc,0.07206682,-3850,Pc,0.07532998,-4050,Pc,0.06588456,-4050,Ma,0.06031394,-4650,Ma,0.06813234,-4400,Ma,0.06721504,-3450,Ma,0.05854629,-2900,Ma,0.05469926,-4250,Ma,0.0553049,-4050,Ph,0.0553049,-1700,Ph,0.05268023,-8200,Ph,0.05500041,-2400,Ph,0.05324171,-8050,Ph,0.04720483,-2150,Ph,0.05132705,-4300,Ph,0.08082045,-3450,Ph,0.08082045,-4800,Ph,0.06721504
