observ,profile1,tectonics1,tg1,profile2,tectonics2,profile3,tg2,tectonics3,tg3,profile4,tectonics4,tg4,profile5,tectonics5,tg5,profile6,tectonics6,tg6,profile7,tectonics7,tg7,profile8,tectonics8,tg8,profile9,tectonics9,tg9,profile10,tectonics10,tg10,profile11,tectonics11,tg11,profile12,tectonics12,tg12,profile13,tectonics13,tg13,profile14,tectonics14,tg14,profile15,tectonics15,tg15,profile16,tectonics16,tg16,profile17,tectonics17,tg17,profile18,tectonics18,tg18,profile19,tectonics19,tg19,profile20,tectonics20,tg20,profile21,tectonics21,tg21,profile22,tectonics22,tg22,profile23,tectonics23,tg23,profile24,tectonics24,tg24,profile25,tectonics25,tg25
1,-1650,Ph,0.05959421,-1350,Ph,-4700,0.05889147,Ph,0.07532998,-5800,Ph,0.06502649,-5450,Ph,0.06545271,-5750,Ph,0.07206682,-5700,Ph,0.07767503,-2900,Ph,0.07206682,-4700,Ph,0.07532998,-5550,Ph,0.06588456,-4950,Ph,0.06031394,-5650,Ph,0.06813234,-5650,Ph,0.06721504,-5650,Ph,0.05854629,-5650,Ph,0.05469926,-5650,Ph,0.0553049,-5650,Ph,0.0553049,-5600,Ph,0.05268023,-5600,Ph,0.05500041,-5600,Ph,0.05324171,-5600,Ph,0.04720483,-5600,Ph,0.05132705,-5600,Ph,0.08082045,-4950,Ph,0.08082045,-4950,Ph,0.06721504
2,-1650,Ph,0.05959421,-1350,Ph,-4700,0.05889147,Ph,0.07532998,-5800,Ph,0.06502649,-5350,Ph,0.06545271,-5750,Ph,0.07206682,-5700,Ph,0.07767503,-2900,Ph,0.07206682,-4700,Ph,0.07532998,-5550,Ph,0.06588456,-5000,Ph,0.06031394,-5650,Ph,0.06813234,-5650,Ph,0.06721504,-5650,Ph,0.05854629,-5600,Ph,0.05469926,-5600,Ph,0.0553049,-5650,Ph,0.0553049,-5600,Ph,0.05268023,-5600,Ph,0.05500041,-5600,Ph,0.05324171,-5600,Ph,0.04720483,-5600,Ph,0.05132705,-5600,Ph,0.08082045,-4950,Ph,0.08082045,-5050,Ph,0.06721504
3,-1600,Ph,0.05959421,-3050,Ph,-4750,0.05889147,Ph,0.07532998,-5650,Ph,0.06502649,-5250,Ph,0.06545271,-5750,Ph,0.07206682,-5750,Ph,0.07767503,-2800,Ph,0.07206682,-4650,Ph,0.07532998,-5600,Ph,0.06588456,-5050,Ph,0.06031394,-5650,Ph,0.06813234,-5650,Ph,0.06721504,-5650,Ph,0.05854629,-5600,Ph,0.05469926,-5600,Ph,0.0553049,-5650,Ph,0.0553049,-5550,Ph,0.05268023,-5550,Ph,0.05500041,-5550,Ph,0.05324171,-5550,Ph,0.04720483,-5550,Ph,0.05132705,-5550,Ph,0.08082045,-5050,Ph,0.08082045,-5050,Ph,0.06721504
4,-1600,Ph,0.05959421,-3050,Ph,-4750,0.05889147,Ph,0.07532998,-5650,Ph,0.06502649,-5300,Ph,0.06545271,-5750,Ph,0.07206682,-5750,Ph,0.07767503,-2800,Ph,0.07206682,-4650,Ph,0.07532998,-5600,Ph,0.06588456,-5100,Ph,0.06031394,-5600,Ph,0.06813234,-5600,Ph,0.06721504,-5600,Ph,0.05854629,-5600,Ph,0.05469926,-5600,Ph,0.0553049,-5600,Ph,0.0553049,-5550,Ph,0.05268023,-5550,Ph,0.05500041,-5550,Ph,0.05324171,-5550,Ph,0.04720483,-5550,Ph,0.05132705,-5550,Ph,0.08082045,-5050,Ph,0.08082045,-4300,Ph,0.06721504
5,-5300,Ph,0.05959421,-3100,Ph,-5900,0.05889147,Ph,0.07532998,-5700,Ph,0.06502649,-5500,Ph,0.06545271,-5650,Ph,0.07206682,-5700,Ph,0.07767503,-2100,Ph,0.07206682,-4600,Ph,0.07532998,-5500,Ph,0.06588456,-5150,Ph,0.06031394,-5550,Ph,0.06813234,-5600,Ph,0.06721504,-5600,Ph,0.05854629,-5550,Ph,0.05469926,-5600,Ph,0.0553049,-5600,Ph,0.0553049,-5500,Ph,0.05268023,-5500,Ph,0.05500041,-5500,Ph,0.05324171,-5500,Ph,0.04720483,-5500,Ph,0.05132705,-5500,Ph,0.08082045,-5000,Ph,0.08082045,-4300,Ph,0.06721504
6,-5300,Ph,0.05959421,-3100,Ph,-5900,0.05889147,Ph,0.07532998,-5700,Ph,0.06502649,-5550,Ph,0.06545271,-5650,Ph,0.07206682,-5700,Ph,0.07767503,-2100,Ph,0.07206682,-4600,Ph,0.07532998,-5500,Ph,0.06588456,-5200,Ph,0.06031394,-5500,Ph,0.06813234,-5600,Ph,0.06721504,-5600,Ph,0.05854629,-5500,Ph,0.05469926,-5600,Ph,0.0553049,-5600,Ph,0.0553049,-5500,Ph,0.05268023,-5500,Ph,0.05500041,-5500,Ph,0.05324171,-5500,Ph,0.04720483,-5500,Ph,0.05132705,-5500,Ph,0.08082045,-5000,Ph,0.08082045,-4200,Ph,0.06721504
7,-5400,Ph,0.05959421,-3600,Ph,-5850,0.05889147,Ph,0.07532998,-5850,Ph,0.06502649,-4850,Ph,0.06545271,-5700,Ph,0.07206682,-5750,Ph,0.07767503,-2050,Ph,0.07206682,-4550,Ph,0.07532998,-5500,Ph,0.06588456,-4100,Ph,0.06031394,-5700,Ph,0.06813234,-5550,Ph,0.06721504,-5600,Ph,0.05854629,-5700,Ph,0.05469926,-5550,Ph,0.0553049,-5600,Ph,0.0553049,-2600,Ph,0.05268023,-2900,Ph,0.05500041,-4800,Ph,0.05324171,-4800,Ph,0.04720483,-4950,Ph,0.05132705,-4800,Ph,0.08082045,-4650,Ph,0.08082045,-4200,Ph,0.06721504
8,-5400,Ph,0.05959421,-3600,Ph,-5850,0.05889147,Ph,0.07532998,-5850,Ph,0.06502649,-4950,Ph,0.06545271,-5700,Ph,0.07206682,-5750,Ph,0.07767503,-2050,Ph,0.07206682,-4550,Ph,0.07532998,-5500,Ph,0.06588456,-4100,Ph,0.06031394,-5700,Ph,0.06813234,-5550,Ph,0.06721504,-5600,Ph,0.05854629,-5750,Ph,0.05469926,-5500,Ph,0.0553049,-5600,Ph,0.0553049,-2600,Ph,0.05268023,-2900,Ph,0.05500041,-4850,Ph,0.05324171,-4850,Ph,0.04720483,-5000,Ph,0.05132705,-4800,Ph,0.08082045,-4650,Ph,0.08082045,-4250,Ph,0.06721504
9,-5400,Ph,0.05959421,-3600,Ph,-2800,0.05889147,Ph,0.07532998,-5450,Ph,0.06502649,-5100,Ph,0.06545271,-5650,Ph,0.07206682,-5700,Ph,0.07767503,-2000,Ph,0.07206682,-4500,Ph,0.07532998,-5550,Ph,0.06588456,-4050,Ph,0.06031394,-5700,Ph,0.06813234,-5550,Ph,0.06721504,-5600,Ph,0.05854629,-5750,Ph,0.05469926,-5700,Ph,0.0553049,-5600,Ph,0.0553049,-2650,Ph,0.05268023,-3650,Ph,0.05500041,-4850,Ph,0.05324171,-4850,Ph,0.04720483,-4800,Ph,0.05132705,-4800,Ph,0.08082045,-4700,Ph,0.08082045,-4250,Ph,0.06721504
10,-5400,Ph,0.05959421,-3600,Ph,-2800,0.05889147,Ph,0.07532998,-5350,Ph,0.06502649,-5050,Ph,0.06545271,-5650,Ph,0.07206682,-5700,Ph,0.07767503,-2000,Ph,0.07206682,-4500,Ph,0.07532998,-5550,Ph,0.06588456,-4050,Ph,0.06031394,-5750,Ph,0.06813234,-5500,Ph,0.06721504,-5600,Ph,0.05854629,-5750,Ph,0.05469926,-5750,Ph,0.0553049,-5600,Ph,0.0553049,-2650,Ph,0.05268023,-3650,Ph,0.05500041,-4850,Ph,0.05324171,-4850,Ph,0.04720483,-4800,Ph,0.05132705,-4800,Ph,0.08082045,-4750,Ph,0.08082045,-5000,Ph,0.06721504
11,-5450,Ph,0.05959421,-3550,Ph,-2950,0.05889147,Ph,0.07532998,-5250,Ph,0.06502649,-5000,Ph,0.06545271,-5700,Ph,0.07206682,-5700,Ph,0.07767503,-1950,Ph,0.07206682,-4450,Ph,0.07532998,-4950,Ph,0.06588456,-4000,Ph,0.06031394,-5900,Ph,0.06813234,-5500,Ph,0.06721504,-5550,Ph,0.05854629,-5900,Ph,0.05469926,-5900,Ph,0.0553049,-5550,Ph,0.0553049,-2800,Ph,0.05268023,-3650,Ph,0.05500041,-4850,Ph,0.05324171,-4850,Ph,0.04720483,-4800,Ph,0.05132705,-4800,Ph,0.08082045,-4750,Ph,0.08082045,-5000,Ph,0.06721504
12,-5450,Ph,0.05959421,-3550,Ph,-2950,0.05889147,Ph,0.07532998,-5300,Ph,0.06502649,-4900,Ph,0.06545271,-5700,Ph,0.07206682,-5750,Ph,0.07767503,-1950,Ph,0.07206682,-4450,Ph,0.07532998,-5000,Ph,0.06588456,-4000,Ph,0.06031394,-5950,Ph,0.06813234,-5500,Ph,0.06721504,-5550,Ph,0.05854629,-5950,Ph,0.05469926,-5900,Ph,0.0553049,-5500,Ph,0.0553049,-2800,Ph,0.05268023,-3650,Ph,0.05500041,-4850,Ph,0.05324171,-4850,Ph,0.04720483,-4850,Ph,0.05132705,-4850,Ph,0.08082045,-4600,Ph,0.08082045,-4950,Ph,0.06721504
13,-5350,Ph,0.05959421,-3550,Ph,-2900,0.05889147,Ph,0.07532998,-5500,Ph,0.06502649,-5200,Ph,0.06545271,-5700,Ph,0.07206682,-5800,Ph,0.07767503,-1900,Ph,0.07206682,-4400,Ph,0.07532998,-5050,Ph,0.06588456,-4750,Ph,0.06031394,-5950,Ph,0.06813234,-5500,Ph,0.06721504,-5550,Ph,0.05854629,-5850,Ph,0.05469926,-5900,Ph,0.0553049,-5700,Ph,0.0553049,-2750,Ph,0.05268023,-3700,Ph,0.05500041,-4850,Ph,0.05324171,-4850,Ph,0.04720483,-5050,Ph,0.05132705,-4850,Ph,0.08082045,-4600,Ph,0.08082045,-4950,Ph,0.06721504
14,-5350,Ph,0.05959421,-3550,Ph,-2900,0.05889147,Ph,0.07532998,-5550,Ph,0.06502649,-5150,Ph,0.06545271,-5700,Ph,0.07206682,-5800,Ph,0.07767503,-1900,Ph,0.07206682,-4400,Ph,0.07532998,-5050,Ph,0.06588456,-4750,Ph,0.06031394,-5950,Ph,0.06813234,-5500,Ph,0.06721504,-5550,Ph,0.05854629,-5850,Ph,0.05469926,-5900,Ph,0.0553049,-5750,Ph,0.0553049,-2750,Ph,0.05268023,-3700,Ph,0.05500041,-4850,Ph,0.05324171,-4800,Ph,0.04720483,-5050,Ph,0.05132705,-4850,Ph,0.08082045,-4800,Ph,0.08082045,-4650,Ph,0.06721504
15,-5350,Ph,0.05959421,-3500,Ph,-2850,0.05889147,Ph,0.07532998,-4950,Ph,0.06502649,-5400,Ph,0.06545271,-5700,Ph,0.07206682,-5800,Ph,0.07767503,-1850,Ph,0.07206682,-4800,Ph,0.07532998,-5050,Ph,0.06588456,-4750,Ph,0.06031394,-5850,Ph,0.06813234,-5700,Ph,0.06721504,-5550,Ph,0.05854629,-5850,Ph,0.05469926,-5850,Ph,0.0553049,-5750,Ph,0.0553049,-2700,Ph,0.05268023,-4800,Ph,0.05500041,-5400,Ph,0.05324171,-4800,Ph,0.04720483,-5100,Ph,0.05132705,-4850,Ph,0.08082045,-4800,Ph,0.08082045,-4650,Ph,0.06721504
16,-5350,Ph,0.05959421,-3500,Ph,-2850,0.05889147,Ma,0.07532998,-5100,Ph,0.06502649,-5800,Ph,0.06545271,-5700,Ph,0.07206682,-5800,Ph,0.07767503,-1850,Ph,0.07206682,-4800,Ph,0.07532998,-5100,Ph,0.06588456,-4800,Ph,0.06031394,-5800,Ph,0.06813234,-5700,Ph,0.06721504,-5500,Ph,0.05854629,-5800,Ph,0.05469926,-5800,Ph,0.0553049,-5750,Ph,0.0553049,-2700,Ph,0.05268023,-4850,Ph,0.05500041,-5400,Ph,0.05324171,-5000,Ph,0.04720483,-5100,Ph,0.05132705,-4850,Ph,0.08082045,-4800,Ph,0.08082045,-4600,Ph,0.06721504
17,-5700,Ph,0.05959421,-3450,Ph,-3300,0.05889147,Ma,0.07532998,-5050,Ph,0.06502649,-5800,Ph,0.06545271,-5700,Ph,0.07206682,-5850,Ph,0.07767503,-2450,Ph,0.07206682,-4750,Ph,0.07532998,-5100,Ph,0.06588456,-4800,Ph,0.06031394,-6000,Ph,0.06813234,-5700,Ph,0.06721504,-5500,Ph,0.05854629,-6000,Ph,0.05469926,-5800,Ph,0.0553049,-5750,Ph,0.0553049,-4700,Ph,0.05268023,-4850,Ph,0.05500041,-5450,Ph,0.05324171,-5000,Ph,0.04720483,-5000,Ph,0.05132705,-5100,Ph,0.08082045,-4800,Ph,0.08082045,-4600,Ph,0.06721504
18,-5700,Ph,0.05959421,-3450,Ph,-3300,0.05889147,Ma,0.07532998,-5000,Ph,0.06502649,-5800,Ph,0.06545271,-5700,Ph,0.07206682,-5850,Ph,0.07767503,-2450,Ph,0.07206682,-4750,Ph,0.07532998,-5100,Ph,0.06588456,-4800,Ph,0.06031394,-6000,Ph,0.06813234,-5750,Ph,0.06721504,-5500,Ph,0.05854629,-6000,Ph,0.05469926,-5800,Ph,0.0553049,-5750,Ph,0.0553049,-4700,Ph,0.05268023,-5400,Ph,0.05500041,-5450,Ph,0.05324171,-4950,Ph,0.04720483,-5000,Ph,0.05132705,-5050,Ph,0.08082045,-4850,Ph,0.08082045,-4550,Ph,0.06721504
19,-5400,Ph,0.05959421,-2550,Ph,-3250,0.05889147,Ma,0.07532998,-4900,Ph,0.06502649,-5800,Ph,0.06545271,-5700,Ph,0.07206682,-5800,Ph,0.07767503,-2400,Ph,0.07206682,-5150,Ph,0.07532998,-5100,Ph,0.06588456,-4850,Ph,0.06031394,-5950,Ph,0.06813234,-5750,Ph,0.06721504,-5700,Ph,0.05854629,-8800,Ph,0.05469926,-5800,Ph,0.0553049,-5800,Ph,0.0553049,-4900,Ph,0.05268023,-5400,Ph,0.05500041,-5050,Ph,0.05324171,-4950,Ph,0.04720483,-5000,Ph,0.05132705,-5000,Ph,0.08082045,-4850,Ph,0.08082045,-4550,Ph,0.06721504
20,-5400,Ph,0.05959421,-2550,Ph,-3250,0.05889147,Ma,0.07532998,-5200,Ph,0.06502649,-5700,Ph,0.06545271,-5700,Ph,0.07206682,-5800,Ph,0.07767503,-2400,Ph,0.07206682,-5150,Ph,0.07532998,-5100,Ph,0.06588456,-4850,Ph,0.06031394,-5950,Ph,0.06813234,-5750,Ph,0.06721504,-5750,Ph,0.05854629,-8800,Ph,0.05469926,-5800,Ph,0.0553049,-5800,Ph,0.0553049,-4900,Ph,0.05268023,-5450,Ph,0.05500041,-5050,Ph,0.05324171,-4950,Ph,0.04720483,-5000,Ph,0.05132705,-4950,Ph,0.08082045,-4850,Ph,0.08082045,-4500,Ph,0.06721504
21,-5400,Ph,0.05959421,-2600,Ph,-3200,0.05889147,Ma,0.07532998,-5150,Ph,0.06502649,-5700,Ph,0.06545271,-5700,Ph,0.07206682,-6000,Ph,0.07767503,-2350,Ph,0.07206682,-5200,Ph,0.07532998,-5100,Ph,0.06588456,-4850,Ph,0.06031394,-5950,Ph,0.06813234,-5900,Ph,0.06721504,-5750,Ph,0.05854629,-8750,Ph,0.05469926,-8450,Ph,0.0553049,-5800,Ph,0.0553049,-4850,Ph,0.05268023,-5450,Ph,0.05500041,-5100,Ph,0.05324171,-4950,Ph,0.04720483,-4950,Ph,0.05132705,-4550,Ph,0.08082045,-4850,Ph,0.08082045,-4500,Ph,0.06721504
22,-5400,Ph,0.05959421,-2600,Ph,-3200,0.05889147,Ma,0.07532998,-5400,Ph,0.06502649,-5700,Ph,0.06545271,-5700,Ph,0.07206682,-6000,Ph,0.07767503,-2350,Ph,0.07206682,-5200,Ph,0.07532998,-5100,Ph,0.06588456,-3850,Ph,0.06031394,-5950,Ph,0.06813234,-5900,Ph,0.06721504,-5750,Ph,0.05854629,-8750,Ph,0.05469926,-8450,Ph,0.0553049,-5800,Ph,0.0553049,-4850,Ph,0.05268023,-5050,Ph,0.05500041,-5100,Ph,0.05324171,-5400,Ph,0.04720483,-4950,Ph,0.05132705,-4550,Ph,0.08082045,-4550,Ph,0.08082045,-4500,Ph,0.06721504
23,-5700,Ph,0.05959421,-2650,Ph,-3150,0.05889147,Ma,0.07532998,-5700,Ph,0.06502649,-5700,Ph,0.06545271,-5700,Ph,0.07206682,-5950,Ph,0.07767503,-2300,Ph,0.07206682,-5100,Ph,0.07532998,-5150,Ph,0.06588456,-3850,Ph,0.06031394,-5900,Ph,0.06813234,-5900,Ph,0.06721504,-5900,Ph,0.05854629,-8700,Ph,0.05469926,-8450,Ph,0.0553049,-5800,Ph,0.0553049,-4800,Ph,0.05268023,-5050,Ph,0.05500041,-5150,Ph,0.05324171,-5400,Ph,0.04720483,-4950,Ph,0.05132705,-4500,Ph,0.08082045,-4550,Ph,0.08082045,-4500,Ph,0.06721504
24,-5700,Ph,0.05959421,-2650,Ph,-3150,0.05889147,Ma,0.07532998,-5700,Ph,0.06502649,-5750,Ph,0.06545271,-5700,Ph,0.07206682,-5950,Ph,0.07767503,-2300,Ph,0.07206682,-5100,Ph,0.07532998,-5150,Ph,0.06588456,-3850,Ph,0.06031394,-5900,Ph,0.06813234,-5950,Ph,0.06721504,-5950,Ph,0.05854629,-8700,Ph,0.05469926,-8450,Ph,0.0553049,-5800,Ph,0.0553049,-4800,Ph,0.05268023,-5100,Ph,0.05500041,-5150,Ph,0.05324171,-5450,Ph,0.04720483,-4950,Ph,0.05132705,-4500,Ph,0.08082045,-4500,Ph,0.08082045,-4450,Ph,0.06721504
25,-5700,Ph,0.05959421,-2700,Ph,-3100,0.05889147,Ma,0.07532998,-5750,Ph,0.06502649,-5750,Ph,0.06545271,-5700,Ph,0.07206682,-5900,Ph,0.07767503,-2250,Ph,0.07206682,-5050,Ph,0.07532998,-5150,Ph,0.06588456,-3850,Ph,0.06031394,-5750,Ph,0.06813234,-5850,Ph,0.06721504,-5950,Ph,0.05854629,-8650,Ph,0.05469926,-8400,Ph,0.0553049,-5800,Ph,0.0553049,-4750,Ph,0.05268023,-5100,Ph,0.05500041,-5200,Ph,0.05324171,-5450,Ph,0.04720483,-4900,Ph,0.05132705,-4450,Ph,0.08082045,-4500,Ph,0.08082045,-4450,Ph,0.06721504
26,-5750,Ph,0.05959421,-2700,Ph,-3100,0.05889147,Ma,0.07532998,-5750,Ph,0.06502649,-5750,Ph,0.06545271,-5700,Ph,0.07206682,-5900,Ph,0.07767503,-2250,Ph,0.07206682,-5050,Ph,0.07532998,-5150,Ph,0.06588456,-4400,Ph,0.06031394,-5750,Ph,0.06813234,-5800,Ph,0.06721504,-5950,Ph,0.05854629,-8650,Ph,0.05469926,-8400,Ph,0.0553049,-8450,Ph,0.0553049,-4750,Ph,0.05268023,-5150,Ph,0.05500041,-5200,Ph,0.05324171,-5050,Ph,0.04720483,-4900,Ph,0.05132705,-4450,Ph,0.08082045,-4350,Ph,0.08082045,-4450,Ph,0.06721504
27,-5750,Ph,0.05959421,-2750,Ph,-3050,0.05889147,Ma,0.07532998,-5750,Ph,0.06502649,-5750,Ph,0.06545271,-5700,Ph,0.07206682,-6150,Ph,0.07767503,-2200,Ph,0.07206682,-5000,Ph,0.07532998,-5150,Ph,0.06588456,-4400,Ph,0.06031394,-3800,Ph,0.06813234,-5750,Ph,0.06721504,-5950,Ph,0.05854629,-8600,Ph,0.05469926,-8400,Ph,0.0553049,-8450,Ph,0.0553049,-5250,Ph,0.05268023,-5150,Ph,0.05500041,-5250,Ph,0.05324171,-5050,Ph,0.04720483,-4850,Ph,0.05132705,-5200,Ph,0.08082045,-4350,Ph,0.08082045,-4450,Ph,0.06721504
28,-5750,Ph,0.05959421,-2750,Ph,-3050,0.05889147,Ma,0.07532998,-5750,Ph,0.06502649,-5850,Ph,0.06545271,-5700,Ph,0.07206682,-6150,Ph,0.07767503,-2200,Ph,0.07206682,-5000,Ph,0.07532998,-5200,Ph,0.06588456,-4400,Ph,0.06031394,-3800,Ph,0.06813234,-5750,Ph,0.06721504,-5950,Ph,0.05854629,-8600,Ph,0.05469926,-8400,Ph,0.0553049,-8400,Ph,0.0553049,-5250,Ph,0.05268023,-5200,Ph,0.05500041,-5250,Ph,0.05324171,-5100,Ph,0.04720483,-4850,Ph,0.05132705,-5200,Ph,0.08082045,-4450,Ph,0.08082045,-4400,Ph,0.06721504
29,-1900,Ph,0.05959421,-2800,Ph,-3000,0.05889147,Ma,0.07532998,-5800,Ph,0.06502649,-5850,Ph,0.06545271,-5700,Ph,0.07206682,-6100,Ph,0.07767503,-2150,Ph,0.07206682,-4950,Ph,0.07532998,-5200,Ph,0.06588456,-4450,Ph,0.06031394,-3800,Ph,0.06813234,-5800,Ph,0.06721504,-5850,Ph,0.05854629,-8550,Ph,0.05469926,-8300,Ph,0.0553049,-8400,Ph,0.0553049,-4900,Ph,0.05268023,-5200,Ph,0.05500041,-5300,Ph,0.05324171,-5100,Ph,0.04720483,-4950,Ph,0.05132705,-5150,Ph,0.08082045,-4450,Ph,0.08082045,-4400,Ph,0.06721504
30,-1900,Ph,0.05959421,-2800,Ph,-3000,0.05889147,Ma,0.07532998,-5800,Ph,0.06502649,-5800,Ph,0.06545271,-5750,Ph,0.07206682,-6100,Ph,0.07767503,-2150,Ph,0.07206682,-4950,Ph,0.07532998,-5200,Ph,0.06588456,-4450,Ph,0.06031394,-3800,Ph,0.06813234,-5800,Ph,0.06721504,-5800,Ph,0.05854629,-8550,Ph,0.05469926,-8300,Ph,0.0553049,-8700,Ph,0.0553049,-4900,Ph,0.05268023,-5250,Ph,0.05500041,-5300,Ph,0.05324171,-5150,Ph,0.04720483,-4950,Ph,0.05132705,-4800,Ph,0.08082045,-4500,Ph,0.08082045,-4800,Ph,0.06721504
31,-1850,Ph,0.05959421,-2850,Ph,-3650,0.05889147,Ma,0.07532998,-5750,Ph,0.06502649,-5800,Ph,0.06545271,-5750,Ph,0.07206682,-6050,Ph,0.07767503,-2800,Ph,0.07206682,-6250,Ph,0.07532998,-2400,Ph,0.06588456,-4450,Ph,0.06031394,-3800,Ph,0.06813234,-6200,Ph,0.06721504,-5700,Ph,0.05854629,-8500,Ph,0.05469926,-8350,Ph,0.0553049,-8700,Ph,0.0553049,-3650,Ph,0.05268023,-5250,Ph,0.05500041,-5350,Ph,0.05324171,-5150,Ph,0.04720483,-4950,Ph,0.05132705,-4800,Ph,0.08082045,-4500,Ph,0.08082045,-4800,Ph,0.06721504
32,-1850,Ph,0.05959421,-2850,Ph,-3650,0.05889147,Ma,0.07532998,-5750,Ph,0.06502649,-5300,Ph,0.06545271,-5750,Ph,0.07206682,-6050,Ph,0.07767503,-2800,Ph,0.07206682,-6250,Ph,0.07532998,-2400,Ph,0.06588456,-4500,Ph,0.06031394,-3800,Ph,0.06813234,-6200,Ph,0.06721504,-5700,Ph,0.05854629,-8500,Ph,0.05469926,-8350,Ph,0.0553049,-9000,Ph,0.0553049,-3650,Ph,0.05268023,-5300,Ph,0.05500041,-5350,Ph,0.05324171,-5200,Ph,0.04720483,-4950,Ph,0.05132705,-4850,Ph,0.08082045,-4550,Ph,0.08082045,-4800,Ph,0.06721504
33,-1800,Ph,0.05959421,-5750,Ph,-3600,0.05889147,Ma,0.07532998,-5850,Ph,0.06502649,-5300,Ph,0.06545271,-5750,Ph,0.07206682,-2450,Ph,0.07767503,-2750,Ph,0.07206682,-6250,Ph,0.07532998,-2350,Ph,0.06588456,-4500,Ph,0.06031394,-3800,Ph,0.06813234,-6250,Ph,0.06721504,-6000,Ph,0.05854629,-8900,Ph,0.05469926,-8750,Ph,0.0553049,-9000,Ph,0.0553049,-3700,Ph,0.05268023,-5300,Ph,0.05500041,-4700,Ph,0.05324171,-5200,Ph,0.04720483,-5050,Ph,0.05132705,-4850,Ph,0.08082045,-4550,Ph,0.08082045,-4800,Ph,0.06721504
34,-1800,Ph,0.05959421,-5750,Ph,-3600,0.05889147,Ma,0.07532998,-5850,Ph,0.06502649,-5250,Ph,0.06545271,-5800,Ph,0.07206682,-2450,Ph,0.07767503,-2750,Ph,0.07206682,-6250,Ph,0.07532998,-2350,Ph,0.06588456,-4500,Ph,0.06031394,-3800,Ph,0.06813234,-6250,Ph,0.06721504,-6000,Ph,0.05854629,-8900,Ph,0.05469926,-8750,Ph,0.0553049,-8950,Ph,0.0553049,-3700,Ph,0.05268023,-5350,Ph,0.05500041,-4700,Ph,0.05324171,-5250,Ph,0.04720483,-5050,Ph,0.05132705,-4950,Ph,0.08082045,-4600,Ph,0.08082045,-4850,Ph,0.06721504
35,-1750,Ph,0.05959421,-3300,Ph,-3550,0.05889147,Ma,0.07532998,-5850,Ph,0.06502649,-5250,Ph,0.06545271,-5800,Ph,0.07206682,-6450,Ph,0.07767503,-2700,Ph,0.07206682,-6200,Ph,0.07532998,-3950,Ph,0.06588456,-4550,Ph,0.06031394,-3750,Ph,0.06813234,-5800,Ph,0.06721504,-6000,Ph,0.05854629,-8850,Ph,0.05469926,-8700,Ph,0.0553049,-8950,Ph,0.0553049,-5400,Ph,0.05268023,-5350,Ph,0.05500041,-4750,Ph,0.05324171,-5250,Ph,0.04720483,-5000,Ph,0.05132705,-4950,Ph,0.08082045,-4600,Ph,0.08082045,-4850,Ph,0.06721504
36,-1750,Ph,0.05959421,-3300,Ph,-3550,0.05889147,Ma,0.07532998,-5850,Ph,0.06502649,-5200,Ph,0.06545271,-5650,Ph,0.07206682,-6450,Ph,0.07767503,-2700,Ph,0.07206682,-6200,Ph,0.07532998,-3950,Ph,0.06588456,-4550,Ph,0.06031394,-3750,Ph,0.06813234,-5800,Ph,0.06721504,-6000,Ph,0.05854629,-8850,Ph,0.05469926,-8700,Ph,0.0553049,-8900,Ph,0.0553049,-5400,Ph,0.05268023,-4700,Ph,0.05500041,-4750,Ph,0.05324171,-5300,Ph,0.04720483,-5000,Ph,0.05132705,-4950,Ph,0.08082045,-4650,Ph,0.08082045,-4350,Ph,0.06721504
37,-1700,Ph,0.05959421,-3250,Ph,-3500,0.05889147,Ma,0.07532998,-6250,Ph,0.06502649,-5200,Ph,0.06545271,-5650,Ph,0.07206682,-6400,Ph,0.07767503,-2650,Ph,0.07206682,-6200,Ph,0.07532998,-1900,Ph,0.06588456,-4550,Ph,0.06031394,-3750,Ph,0.06813234,-5850,Ph,0.06721504,-6000,Ph,0.05854629,-9050,Ph,0.05469926,-8700,Ph,0.0553049,-8900,Ph,0.0553049,-5400,Ph,0.05268023,-4700,Ph,0.05500041,-4800,Ph,0.05324171,-5300,Ph,0.04720483,-4950,Ph,0.05132705,-4950,Ph,0.08082045,-4650,Ph,0.08082045,-4350,Ph,0.06721504
38,-1700,Ph,0.05959421,-3250,Ph,-3500,0.05889147,Ma,0.07532998,-6250,Ph,0.06502649,-5150,Ph,0.06545271,-5850,Ph,0.07206682,-6400,Ph,0.07767503,-2650,Ph,0.07206682,-6200,Ph,0.07532998,-1900,Ph,0.06588456,-4600,Ph,0.06031394,-3750,Ph,0.06813234,-5850,Ph,0.06721504,-6000,Ph,0.05854629,-9050,Ph,0.05469926,-8700,Ph,0.0553049,-8850,Ph,0.0553049,-5400,Ph,0.05268023,-4750,Ph,0.05500041,-4800,Ph,0.05324171,-5350,Ph,0.04720483,-4950,Ph,0.05132705,-4750,Ph,0.08082045,-4400,Ph,0.08082045,-4750,Ph,0.06721504
